itemid,label,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue,abbreviation
226545,Race,chartevents,ADT,,Text,,,Race
226228,Gender,chartevents,ADT,,Text,,,Gender
229873,Emergency Equipment at bedside (CH),chartevents,ECMO,,Text,,,Emergency Equipment at bedside (CH)
229278,Sweep (ECMO),chartevents,ECMO,,Text,,,Sweep (ECMO)
229273,Flow Sensor repositioned (ECMO),chartevents,ECMO,,Text,,,Flow Sensor repositioned (ECMO)
229268,Circuit Configuration (ECMO),chartevents,ECMO,,Text,,,Circuit Configuration (ECMO)
229876,Pump plugged into RED outlet (CH),chartevents,ECMO,,Text,,,Pump plugged into RED outlet (CH)
229874,Flow Sensor repositioned (CH),chartevents,ECMO,,Text,,,Flow Sensor repositioned (CH)
229877,Suction events (CH),chartevents,ECMO,,Text,,,Suction events (CH)
229266,Cannula sites visually inspected (ECMO),chartevents,ECMO,,Text,,,Cannula sites visually inspected (ECMO)
229878,Circuit inspected for clot (CH),chartevents,ECMO,,Text,,,Circuit inspected for clot (CH)
229879,Cannula sites visually inspected (CH),chartevents,ECMO,,Text,,,Cannula sites visually inspected (CH)
229275,Pump plugged into RED outlet (ECMO),chartevents,ECMO,,Text,,,Pump plugged into RED outlet (ECMO)
229846,Sweep (CH),chartevents,ECMO,,Text,,,Sweep (CH)
229269,Circuit inspected for clot (ECMO),chartevents,ECMO,,Text,,,Circuit inspected for clot (ECMO)
229875,Oxygenator visible (CH),chartevents,ECMO,,Text,,,Oxygenator visible (CH)
229276,Suction events (ECMO),chartevents,ECMO,,Text,,,Suction events (ECMO)
229267,Emergency Equipment at bedside (ECMO),chartevents,ECMO,,Text,,,Emergency Equipment at bedside (ECMO)
229274,Oxygenator visible (ECMO),chartevents,ECMO,,Text,,,Oxygenator visible (ECMO)
229840,Circuit Configuration (CH),chartevents,ECMO,,Text,,,Circuit Configuration (CH)
220120,Intra Aortic Ballon Pump Setting,chartevents,IABP,,Text,,,Intra Aortic Ballon Pump Setting
