id,label,effectiveTime,active,moduleId,definitionStatusId,observable_entity
224961000,Ability to sleep (observable entity),20020131,1,900000000000207008,900000000000074008,True
224992003,Mental defense mechanisms (observable entity),20020131,1,900000000000207008,900000000000074008,True
224433004,Availability of workplace drinking water (observable entity),20020131,1,900000000000207008,900000000000074008,True
224437003,Availability of workplace welfare facility (observable entity),20020131,1,900000000000207008,900000000000074008,True
224441004,Availability of workplace rest area facilities (observable entity),20020131,1,900000000000207008,900000000000074008,True
224429006,Availability of workplace vending machine facilities (observable entity),20020131,1,900000000000207008,900000000000074008,True
224412008,Availability of facilities in workplace (observable entity),20020131,1,900000000000207008,900000000000074008,True
224413003,Availability of workplace toilet facilities (observable entity),20020131,1,900000000000207008,900000000000074008,True
224417002,Availability of workplace handwashing facilities (observable entity),20020131,1,900000000000207008,900000000000074008,True
224421009,Availability of workplace shower facilities (observable entity),20020131,1,900000000000207008,900000000000074008,True
224425000,Availability of workplace canteen facilities (observable entity),20020131,1,900000000000207008,900000000000074008,True
224475003,Detail of care and support circumstances and networks (observable entity),20020131,1,900000000000207008,900000000000074008,True
224476002,Availability of help from lay caregiver (observable entity),20020131,1,900000000000207008,900000000000074008,True
224487005,Details of informal caregiver (observable entity),20020131,1,900000000000207008,900000000000074008,True
224488000,Willingness of caregiver to provide care (observable entity),20020131,1,900000000000207008,900000000000074008,True
224463008,Details relating to changes in job (observable entity),20020131,1,900000000000207008,900000000000074008,True
224469007,Prospects of promotion (observable entity),20020131,1,900000000000207008,900000000000074008,True
224409005,Time spent working away from home (observable entity),20020131,1,900000000000207008,900000000000074008,True
224348009,Enduring power of attorney (observable entity),20020131,1,900000000000207008,900000000000074008,True
224350001,Eligibility for criminal injuries compensation (observable entity),20020131,1,900000000000207008,900000000000074008,True
224359000,Duration of military service (observable entity),20020131,1,900000000000207008,900000000000074008,True
224360005,Number of previous jobs (observable entity),20020131,1,900000000000207008,900000000000074008,True
224361009,Type of job (observable entity),20020131,1,900000000000207008,900000000000074008,True
224362002,Employment status (observable entity),20020131,1,900000000000207008,900000000000074008,True
224326003,Qualifications achieved (observable entity),20020131,1,900000000000207008,900000000000074008,True
224329005,Legal affairs and legal constraints (observable entity),20020131,1,900000000000207008,900000000000074008,True
224391004,Acceptance of authority at work (observable entity),20020131,1,900000000000207008,900000000000074008,True
224394007,Acceptance of supervision at work (observable entity),20020131,1,900000000000207008,900000000000074008,True
224399002,Attendance at work (observable entity),20020131,1,900000000000207008,900000000000074008,True
224406003,Details relating to place of work and employer (observable entity),20020131,1,900000000000207008,900000000000074008,True
224388004,Awareness of safety at work (observable entity),20020131,1,900000000000207008,900000000000074008,True
224373009,Length of time in job (observable entity),20020131,1,900000000000207008,900000000000074008,True
224374003,Regularity of work (observable entity),20020131,1,900000000000207008,900000000000074008,True
224377005,Number of jobs at once (observable entity),20020131,1,900000000000207008,900000000000074008,True
224494008,Availability of informal caregiver (observable entity),20020131,1,900000000000207008,900000000000074008,True
224522000,Countries planned to visit (observable entity),20020131,1,900000000000207008,900000000000074008,True
224523005,Number of dependants (observable entity),20020131,1,900000000000207008,900000000000074008,True
